Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID,EEA Withdrawal Right Type,Reduced VAT Rates,Communications and amusement taxes,Tokenized digital asset declared
com.oneartist.puzzle.onetfood.master.big_pack,published,managed_by_android,FALSE,vi; Big Pack; Buy Coin and Items,FALSE,VN; 1050000000000; AE; 164990000; AT; 45990000; AU; 67990000; BD; 5800000000; BE; 46990000; BG; 89990000; BH; 46990000; BM; 41990000; BO; 294990000; BR; 229990000; CA; 56990000; CH; 36000000; CL; 46400000000; CO; 178000000000; CR; 22000000000; CY; 45990000; CZ; 1199990000; DE; 45990000; DK; 359000000; DZ; 5625000000; EC; 41990000; EE; 46990000; EG; 2349990000; ES; 46990000; FI; 47990000; FM; 41990000; FR; 45990000; GB; 38990000; GE; 149000000; GH; 820000000; GI; 32490000; GR; 47990000; HK; 329000000; HR; 47990000; HU; 19499000000; ID; 690000000000; IE; 46990000; IL; 149900000; IN; 4200000000; IQ; 55600000000; IT; 46990000; JO; 30050000; JP; 6200000000; KE; 6300000000; KH; 41990000; KR; 60000000000; KW; 41990000; KY; 41990000; KZ; 22990000000; LI; 39000000; LK; 12500000000; LT; 46990000; LU; 44990000; LV; 46990000; MA; 494990000; MC; 45990000; MM; 89000000000; MO; 339000000; MX; 949000000; MY; 194990000; NG; 75500000000; NL; 46990000; NO; 559000000; NZ; 79990000; OM; 44990000; PA; 41990000; PE; 159990000; PH; 2400000000; PK; 11800000000; PL; 204990000; PT; 46990000; PY; 325000000000; QA; 155000000; RO; 229990000; RS; 5499000000; RU; 3999000000; SA; 184990000; SE; 549000000; SG; 59980000; SI; 46990000; SK; 45990000; SM; 37990000; SV; 41990000; TC; 41990000; TH; 1500000000; TR; 1739990000; TW; 1420000000; TZ; 115000000000; UA; 2099990000; US; 41990000; VA; 37990000; VG; 41990000; VN; 1050000000000; ZA; 849990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.coin_pack_1,published,managed_by_android,FALSE,vi; Coin Pack 1; Buy Coin,FALSE,VN; 25000000000; AE; 3890000; AT; 1090000; AU; 1590000; BD; 150000000; BE; 1090000; BG; 2190000; BH; 990000; BM; 990000; BO; 6990000; BR; 5490000; CA; 1390000; CH; 900000; CL; 1100000000; CO; 4000000000; CR; 520000000; CY; 1090000; CZ; 27990000; DE; 1090000; DK; 9000000; DZ; 125000000; EC; 990000; EE; 1090000; EG; 55990000; ES; 1090000; FI; 1190000; FM; 990000; FR; 1090000; GB; 890000; GE; 3000000; GH; 20000000; GI; 790000; GR; 1090000; HK; 8000000; HR; 1190000; HU; 469000000; ID; 16000000000; IE; 1090000; IL; 3800000; IN; 100000000; IQ; 1300000000; IT; 1090000; JO; 700000; JP; 150000000; KE; 200000000; KH; 990000; KR; 1500000000; KW; 990000; KY; 990000; KZ; 590000000; LI; 900000; LK; 300000000; LT; 1090000; LU; 1090000; LV; 1090000; MA; 11990000; MC; 1090000; MM; 2000000000; MO; 7990000; MX; 23000000; MY; 4490000; NG; 1800000000; NL; 1090000; NO; 13000000; NZ; 1890000; OM; 990000; PA; 990000; PE; 3790000; PH; 57000000; PK; 280000000; PL; 4890000; PT; 1090000; PY; 10000000000; QA; 3500000; RO; 5490000; RS; 149000000; RU; 99000000; SA; 4390000; SE; 13000000; SG; 1480000; SI; 1090000; SK; 1090000; SM; 890000; SV; 990000; TC; 990000; TH; 36000000; TR; 41990000; TW; 34000000; TZ; 2700000000; UA; 49990000; US; 990000; VA; 890000; VG; 990000; VN; 25000000000; ZA; 19990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.coin_pack_2,published,managed_by_android,FALSE,vi; Coin Pack 2; Buy Coin,FALSE,VN; 250000000000; AE; 38990000; AT; 10990000; AU; 15990000; BD; 1400000000; BE; 10990000; BG; 20990000; BH; 10990000; BM; 9990000; BO; 69990000; BR; 54990000; CA; 13990000; CH; 8600000; CL; 11100000000; CO; 42500000000; CR; 5200000000; CY; 10990000; CZ; 279990000; DE; 10990000; DK; 85000000; DZ; 1350000000; EC; 9990000; EE; 10990000; EG; 559990000; ES; 10990000; FI; 10990000; FM; 9990000; FR; 10990000; GB; 8990000; GE; 34000000; GH; 200000000; GI; 7490000; GR; 10990000; HK; 78000000; HR; 10990000; HU; 4690000000; ID; 159000000000; IE; 10990000; IL; 38000000; IN; 1000000000; IQ; 13250000000; IT; 10990000; JO; 7150000; JP; 1480000000; KE; 1500000000; KH; 9990000; KR; 15000000000; KW; 9990000; KY; 9990000; KZ; 5490000000; LI; 9300000; LK; 2975000000; LT; 10990000; LU; 10990000; LV; 10990000; MA; 119990000; MC; 10990000; MM; 21000000000; MO; 80880000; MX; 225000000; MY; 45990000; NG; 18000000000; NL; 10990000; NO; 135000000; NZ; 18990000; OM; 10990000; PA; 9990000; PE; 37990000; PH; 569000000; PK; 2800000000; PL; 48990000; PT; 10990000; PY; 80000000000; QA; 37000000; RO; 54990000; RS; 1299000000; RU; 990000000; SA; 43990000; SE; 129000000; SG; 13990000; SI; 10990000; SK; 10990000; SM; 8990000; SV; 9990000; TC; 9990000; TH; 350000000; TR; 414990000; TW; 340000000; TZ; 27000000000; UA; 499990000; US; 9990000; VA; 8990000; VG; 9990000; VN; 250000000000; ZA; 204990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.coin_pack_3,published,managed_by_android,FALSE,vi; Coin Pack 3; Buy Coin,FALSE,VN; 400000000000; AE; 61990000; AT; 17990000; AU; 25990000; BD; 2200000000; BE; 17990000; BG; 33990000; BH; 17990000; BM; 15990000; BO; 109990000; BR; 88990000; CA; 21990000; CH; 14000000; CL; 17700000000; CO; 68000000000; CR; 8400000000; CY; 16990000; CZ; 449990000; DE; 16990000; DK; 135000000; DZ; 2150000000; EC; 15990000; EE; 17990000; EG; 889990000; ES; 17990000; FI; 17990000; FM; 15990000; FR; 17990000; GB; 14990000; GE; 49000000; GH; 310000000; GI; 12490000; GR; 17990000; HK; 128000000; HR; 17990000; HU; 7490000000; ID; 249000000000; IE; 17990000; IL; 61000000; IN; 1600000000; IQ; 21150000000; IT; 17990000; JO; 11450000; JP; 2380000000; KE; 2400000000; KH; 15990000; KR; 24000000000; KW; 15990000; KY; 15990000; KZ; 8690000000; LI; 15000000; LK; 4750000000; LT; 17990000; LU; 16990000; LV; 17990000; MA; 189990000; MC; 17990000; MM; 34000000000; MO; 129000000; MX; 365000000; MY; 73990000; NG; 29000000000; NL; 17990000; NO; 215000000; NZ; 29990000; OM; 16990000; PA; 15990000; PE; 59990000; PH; 910000000; PK; 4500000000; PL; 77990000; PT; 17990000; PY; 125000000000; QA; 59000000; RO; 84990000; RS; 2099000000; RU; 1499000000; SA; 69990000; SE; 209000000; SG; 22980000; SI; 17990000; SK; 17990000; SM; 14990000; SV; 15990000; TC; 15990000; TH; 575000000; TR; 659990000; TW; 540000000; TZ; 44000000000; UA; 799990000; US; 15990000; VA; 14990000; VG; 15990000; VN; 400000000000; ZA; 324990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.coin_pack_4,published,managed_by_android,FALSE,vi; Coin Pack 4; Buy Coin,FALSE,VN; 875000000000; AE; 134990000; AT; 37990000; AU; 56990000; BD; 4900000000; BE; 38990000; BG; 74990000; BH; 38990000; BM; 34990000; BO; 244990000; BR; 194990000; CA; 47990000; CH; 30000000; CL; 38700000000; CO; 148000000000; CR; 18300000000; CY; 37990000; CZ; 999990000; DE; 37990000; DK; 299000000; DZ; 4700000000; EC; 34990000; EE; 38990000; EG; 1949990000; ES; 38990000; FI; 39990000; FM; 34990000; FR; 37990000; GB; 32490000; GE; 124000000; GH; 680000000; GI; 26990000; GR; 39990000; HK; 278000000; HR; 39990000; HU; 16499000000; ID; 590000000000; IE; 38990000; IL; 125000000; IN; 3500000000; IQ; 46300000000; IT; 38990000; JO; 25050000; JP; 5200000000; KE; 5300000000; KH; 34990000; KR; 50000000000; KW; 34990000; KY; 34990000; KZ; 18990000000; LI; 33000000; LK; 10375000000; LT; 38990000; LU; 36990000; LV; 38990000; MA; 414990000; MC; 37990000; MM; 74000000000; MO; 279000000; MX; 789000000; MY; 159990000; NG; 63000000000; NL; 38990000; NO; 469000000; NZ; 64990000; OM; 36990000; PA; 34990000; PE; 129990000; PH; 2000000000; PK; 9800000000; PL; 169990000; PT; 38990000; PY; 275000000000; QA; 130000000; RO; 189990000; RS; 4499000000; RU; 3299000000; SA; 154990000; SE; 455000000; SG; 49980000; SI; 38990000; SK; 37990000; SM; 31990000; SV; 34990000; TC; 34990000; TH; 1250000000; TR; 1449990000; TW; 1180000000; TZ; 96000000000; UA; 1749990000; US; 34990000; VA; 31990000; VG; 34990000; VN; 875000000000; ZA; 709990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.coin_pack_5,published,managed_by_android,FALSE,vi; Coin Pack 5; Buy Coin,FALSE,VN; 1000000000000; AE; 154990000; AT; 43990000; AU; 64990000; BD; 5600000000; BE; 43990000; BG; 85990000; BH; 43990000; BM; 39990000; BO; 279990000; BR; 219990000; CA; 54990000; CH; 34000000; CL; 44200000000; CO; 169000000000; CR; 21000000000; CY; 43990000; CZ; 1099990000; DE; 43990000; DK; 339000000; DZ; 5375000000; EC; 39990000; EE; 44990000; EG; 2249990000; ES; 43990000; FI; 45990000; FM; 39990000; FR; 43990000; GB; 36990000; GE; 124000000; GH; 780000000; GI; 30990000; GR; 44990000; HK; 318000000; HR; 45990000; HU; 18499000000; ID; 590000000000; IE; 44990000; IL; 149900000; IN; 4000000000; IQ; 52900000000; IT; 44990000; JO; 28650000; JP; 5900000000; KE; 6000000000; KH; 39990000; KR; 59000000000; KW; 39990000; KY; 39990000; KZ; 21990000000; LI; 37000000; LK; 11750000000; LT; 43990000; LU; 42990000; LV; 43990000; MA; 474990000; MC; 43990000; MM; 85000000000; MO; 319000000; MX; 909000000; MY; 184990000; NG; 72000000000; NL; 43990000; NO; 539000000; NZ; 74990000; OM; 41990000; PA; 39990000; PE; 149990000; PH; 2300000000; PK; 11200000000; PL; 194990000; PT; 44990000; PY; 325000000000; QA; 145000000; RO; 214990000; RS; 4999000000; RU; 3799000000; SA; 174990000; SE; 519000000; SG; 56990000; SI; 44990000; SK; 43990000; SM; 36990000; SV; 39990000; TC; 39990000; TH; 1425000000; TR; 1659990000; TW; 1350000000; TZ; 110000000000; UA; 1999990000; US; 39990000; VA; 36990000; VG; 39990000; VN; 1000000000000; ZA; 809990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.huge_pack,published,managed_by_android,FALSE,vi; Huge Pack; Buy Coin and Items,FALSE,VN; 500000000000; AE; 77990000; AT; 21990000; AU; 31990000; BD; 2800000000; BE; 21990000; BG; 42990000; BH; 21990000; BM; 19990000; BO; 139990000; BR; 109990000; CA; 26990000; CH; 17000000; CL; 22100000000; CO; 85000000000; CR; 10500000000; CY; 21990000; CZ; 549990000; DE; 21990000; DK; 169000000; DZ; 2675000000; EC; 19990000; EE; 21990000; EG; 1099990000; ES; 21990000; FI; 22990000; FM; 19990000; FR; 21990000; GB; 18490000; GE; 69000000; GH; 390000000; GI; 15490000; GR; 22990000; HK; 158000000; HR; 22990000; HU; 9299000000; ID; 309000000000; IE; 22990000; IL; 76900000; IN; 2000000000; IQ; 26450000000; IT; 21990000; JO; 14300000; JP; 2960000000; KE; 3000000000; KH; 19990000; KR; 30000000000; KW; 19990000; KY; 19990000; KZ; 10990000000; LI; 19000000; LK; 5925000000; LT; 21990000; LU; 20990000; LV; 21990000; MA; 234990000; MC; 21990000; MM; 42000000000; MO; 159000000; MX; 455000000; MY; 91990000; NG; 36000000000; NL; 21990000; NO; 269000000; NZ; 36990000; OM; 20990000; PA; 19990000; PE; 74990000; PH; 1150000000; PK; 5600000000; PL; 96990000; PT; 22990000; PY; 150000000000; QA; 74000000; RO; 109990000; RS; 2599000000; RU; 1899000000; SA; 86990000; SE; 259000000; SG; 28980000; SI; 21990000; SK; 21990000; SM; 17990000; SV; 19990000; TC; 19990000; TH; 725000000; TR; 829990000; TW; 680000000; TZ; 55000000000; UA; 999990000; US; 19990000; VA; 17990000; VG; 19990000; VN; 500000000000; ZA; 404990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.medium_pack,published,managed_by_android,FALSE,vi; Medium Pack; Buy Coin and Items,FALSE,VN; 725000000000; AE; 114990000; AT; 31990000; AU; 46990000; BD; 4000000000; BE; 31990000; BG; 61990000; BH; 31990000; BM; 28990000; BO; 204990000; BR; 159990000; CA; 39990000; CH; 25000000; CL; 32100000000; CO; 123000000000; CR; 15200000000; CY; 31990000; CZ; 799990000; DE; 31990000; DK; 249000000; DZ; 3900000000; EC; 28990000; EE; 31990000; EG; 1599990000; ES; 31990000; FI; 32990000; FM; 28990000; FR; 31990000; GB; 26990000; GE; 99000000; GH; 570000000; GI; 22490000; GR; 32990000; HK; 228000000; HR; 32990000; HU; 13499000000; ID; 449000000000; IE; 32990000; IL; 99900000; IN; 2900000000; IQ; 38350000000; IT; 31990000; JO; 20750000; JP; 4300000000; KE; 4400000000; KH; 28990000; KR; 43000000000; KW; 28990000; KY; 28990000; KZ; 15990000000; LI; 27000000; LK; 8600000000; LT; 31990000; LU; 30990000; LV; 31990000; MA; 344990000; MC; 31990000; MM; 62000000000; MO; 238000000; MX; 659000000; MY; 134990000; NG; 52000000000; NL; 31990000; NO; 389000000; NZ; 54990000; OM; 30990000; PA; 28990000; PE; 109990000; PH; 1650000000; PK; 8100000000; PL; 139990000; PT; 32990000; PY; 225000000000; QA; 105000000; RO; 154990000; RS; 3699000000; RU; 2790000000; SA; 124990000; SE; 379000000; SG; 40990000; SI; 31990000; SK; 31990000; SM; 26990000; SV; 28990000; TC; 28990000; TH; 1050000000; TR; 1199990000; TW; 980000000; TZ; 80000000000; UA; 1449990000; US; 28990000; VA; 26990000; VG; 28990000; VN; 725000000000; ZA; 589990000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.remove_ads,published,managed_by_android,FALSE,vi; Remove Ad; No more banner ad and app open ad,FALSE,VN; 25000000000,,SERVICE,,,FALSE
com.oneartist.puzzle.onetfood.master.remove_ads_pack,published,managed_by_android,FALSE,"vi; Remove Ads Pack; No more banner ad, app open ad, full ad and receive more coin",FALSE,VN; 75000000000; AE; 11990000; AT; 3290000; AU; 4890000; BD; 420000000; BE; 3290000; BG; 6390000; BH; 3490000; BM; 2990000; BO; 20990000; BR; 16990000; CA; 4090000; CH; 2600000; CL; 3300000000; CO; 12500000000; CR; 1600000000; CY; 3290000; CZ; 84990000; DE; 3290000; DK; 26000000; DZ; 400000000; EC; 2990000; EE; 3390000; EG; 169990000; ES; 3290000; FI; 3490000; FM; 2990000; FR; 3290000; GB; 2790000; GE; 9000000; GH; 60000000; GI; 2290000; GR; 3390000; HK; 23000000; HR; 3390000; HU; 1399000000; ID; 47000000000; IE; 3390000; IL; 11900000; IN; 300000000; IQ; 3950000000; IT; 3390000; JO; 2150000; JP; 440000000; KE; 500000000; KH; 2990000; KR; 4400000000; KW; 2990000; KY; 2990000; KZ; 1590000000; LI; 2800000; LK; 900000000; LT; 3290000; LU; 3190000; LV; 3290000; MA; 35990000; MC; 3290000; MM; 6000000000; MO; 23990000; MX; 69000000; MY; 13990000; NG; 5390000000; NL; 3290000; NO; 40000000; NZ; 5490000; OM; 2990000; PA; 2990000; PE; 10990000; PH; 170000000; PK; 850000000; PL; 14990000; PT; 3390000; PY; 20000000000; QA; 11000000; RO; 15990000; RS; 399000000; RU; 289000000; SA; 12990000; SE; 39000000; SG; 4480000; SI; 3390000; SK; 3290000; SM; 2790000; SV; 2990000; TC; 2990000; TH; 110000000; TR; 124990000; TW; 100000000; TZ; 8000000000; UA; 149990000; US; 2990000; VA; 2790000; VG; 2990000; VN; 75000000000; ZA; 60990000,,SERVICE,,,FALSE
